merchant_id,merchant_name,mcc,segment,country,onboarded_at
m_0100,Rheintal Fuel #100,5311,retail,AT,2025-04-25 19:42:22
m_0101,Sonnhof Apotheke #101,5812,restaurant,DE,2025-05-28 05:53:24
m_0102,Wiener Feinkost #102,5812,restaurant,DE,2025-04-27 21:03:22
m_0103,Alpina Market #103,5311,retail,AT,2025-03-23 15:02:40
m_0104,Brenner Bakery #104,5311,retail,DE,2025-05-06 03:34:49
m_0105,Karwendel Kiosk #105,5311,retail,DE,2025-07-18 12:29:13
m_0106,Wiener Feinkost #106,5311,retail,DE,2025-04-21 05:04:51
m_0107,Salzkammergut Store #107,5311,retail,AT,2025-04-02 05:08:02
m_0108,GiftBox Express #108,5812,restaurant,IT,2025-02-27 05:26:18
m_0109,GiftBox Express #109,5411,grocery,SI,2025-01-29 06:48:29
m_0110,Brenner Bakery #110,5311,retail,AT,2025-05-30 02:56:19
m_0111,GiftBox Express #111,5311,retail,AT,2025-01-03 03:40:53
m_0112,Tirol Tankstelle #112,5912,pharmacy,DE,2025-03-26 23:44:50
m_0113,Voucher World #113,5411,grocery,DE,2025-04-07 18:41:46
m_0114,Tirol Tankstelle #114,5912,pharmacy,DE,2025-06-30 10:47:19
m_0115,MegaCard Shop #115,5812,restaurant,DE,2025-06-21 21:04:59
m_0116,Voucher World #116,5812,restaurant,DE,2025-06-23 04:12:57
m_0117,Etsch Electronics #117,5912,pharmacy,DE,2025-04-07 00:26:28
m_0118,Kaiser Supermarkt #118,5732,electronics,DE,2025-07-08 04:46:17
m_0119,Kaiser Supermarkt #119,5812,restaurant,DE,2025-04-21 23:10:45
m_0120,PixelTech #120,5411,grocery,AT,2025-02-01 07:02:17
m_0121,GiftBox Express #121,5411,grocery,AT,2025-03-01 08:14:53
m_0122,Bergblick Groceries #122,5541,fuel,DE,2025-05-09 12:02:17
m_0123,Rheintal Fuel #123,5812,restaurant,AT,2025-06-13 04:01:17
m_0124,Brenner Bakery #124,5311,retail,CH,2025-01-08 14:03:03
m_0125,Brenner Bakery #125,5732,electronics,AT,2025-01-03 06:57:19
m_0126,Dolomiti Foods #126,6540,giftcard,DE,2025-06-12 17:33:41
m_0127,MegaCard Shop #127,5812,restaurant,IT,2025-03-27 15:34:10
m_0128,Kaiser Supermarkt #128,5311,retail,DE,2025-01-12 06:31:51
m_0129,Almhuette Bistro #129,5311,retail,DE,2025-07-01 12:23:30
m_0130,Salzkammergut Store #130,5912,pharmacy,DE,2025-06-03 00:32:05
m_0131,Alpina Market #131,5812,restaurant,AT,2025-06-16 10:57:38
m_0132,Karwendel Kiosk #132,5411,grocery,AT,2025-04-12 00:49:57
m_0133,Sonnhof Apotheke #133,5311,retail,DE,2025-05-12 01:43:59
m_0134,Almhuette Bistro #134,5541,fuel,AT,2025-06-13 17:16:08
m_0135,Bergblick Groceries #135,5411,grocery,DE,2025-01-21 05:28:22
m_0136,Speck & Co #136,6540,giftcard,AT,2025-01-27 15:34:10
m_0137,Nordstern Retail #137,5541,fuel,DE,2025-04-07 00:50:50
m_0138,Alpina Market #138,5411,grocery,DE,2025-04-03 15:24:00
m_0139,Tirol Tankstelle #139,5411,grocery,DE,2025-03-26 15:34:36
m_0140,Kaiser Supermarkt #140,5311,retail,DE,2025-03-07 03:54:29
m_0141,Tirol Tankstelle #141,5812,restaurant,DE,2025-03-05 14:24:28
m_0142,Tirol Tankstelle #142,6540,giftcard,DE,2025-05-02 03:39:08
m_0143,Almhuette Bistro #143,5812,restaurant,AT,2025-03-19 00:34:03
m_0144,GiftBox Express #144,5411,grocery,AT,2025-04-28 02:57:15
m_0145,Salzkammergut Store #145,5732,electronics,IT,2025-01-16 22:47:31
m_0146,Rheintal Fuel #146,5311,retail,DE,2025-01-27 18:43:24
m_0147,PixelTech #147,5311,retail,AT,2025-06-13 03:13:52
m_0148,Tirol Tankstelle #148,5732,electronics,DE,2025-05-21 15:50:13
m_0149,Karwendel Kiosk #149,5812,restaurant,DE,2025-06-19 03:02:03
m_0150,Voucher World #150,5411,grocery,SI,2025-04-15 21:21:01
m_0151,MegaCard Shop #151,5812,restaurant,DE,2025-06-30 12:56:15
m_0152,Brenner Bakery #152,5311,retail,AT,2025-04-06 08:10:50
m_0153,Bergblick Groceries #153,5732,electronics,AT,2025-06-25 01:46:45
m_0154,Karwendel Kiosk #154,5411,grocery,DE,2025-05-28 04:26:10
m_0155,Etsch Electronics #155,5311,retail,IT,2025-03-12 14:52:13
m_0156,Speck & Co #156,5311,retail,IT,2025-05-13 04:11:16
m_0157,Salzkammergut Store #157,5411,grocery,DE,2025-04-18 07:00:35
m_0158,Voucher World #158,5812,restaurant,CH,2025-02-03 05:58:14
m_0159,Rheintal Fuel #159,5411,grocery,DE,2025-04-04 07:58:53
m_0160,Etsch Electronics #160,5541,fuel,DE,2025-01-07 16:43:07
m_0161,GiftBox Express #161,5411,grocery,DE,2025-04-05 11:46:06
m_0162,Brenner Bakery #162,5311,retail,AT,2025-05-14 12:03:04
m_0163,MegaCard Shop #163,5311,retail,AT,2025-06-26 05:12:44
m_0164,Kaiser Supermarkt #164,5411,grocery,AT,2025-03-16 19:00:56
m_0165,MegaCard Shop #165,5311,retail,SI,2025-03-13 21:43:17
m_0166,Etsch Electronics #166,5411,grocery,AT,2025-04-20 21:44:20
m_0167,Sonnhof Apotheke #167,6540,giftcard,AT,2025-05-21 03:39:19
m_0168,Alpina Market #168,5411,grocery,DE,2025-02-19 03:50:19
m_0169,Nordstern Retail #169,5411,grocery,DE,2025-02-19 01:00:36
m_0170,Etsch Electronics #170,5812,restaurant,AT,2025-01-05 18:19:18
m_0171,Etsch Electronics #171,5812,restaurant,DE,2025-05-13 07:36:34
m_0172,Nordstern Retail #172,5411,grocery,AT,2025-07-05 12:45:31
m_0173,Bergblick Groceries #173,5411,grocery,DE,2025-01-29 18:29:45
m_0174,Nordstern Retail #174,5812,restaurant,AT,2025-04-28 23:57:08
m_0175,GiftBox Express #175,5411,grocery,AT,2025-06-11 15:01:22
m_0176,Salzkammergut Store #176,5812,restaurant,AT,2025-05-28 17:22:48
m_0177,Karwendel Kiosk #177,5311,retail,AT,2025-06-16 12:59:01
m_0178,Salzkammergut Store #178,5311,retail,AT,2025-02-08 12:55:26
m_0179,Sonnhof Apotheke #179,6540,giftcard,DE,2025-04-13 18:40:50
m_0180,Wiener Feinkost #180,5812,restaurant,AT,2025-01-30 03:39:19
m_0181,Rheintal Fuel #181,5411,grocery,DE,2025-07-02 11:54:06
m_0182,GiftBox Express #182,5411,grocery,AT,2025-04-20 19:07:34
m_0183,Karwendel Kiosk #183,5541,fuel,AT,2025-04-01 15:40:03
m_0184,Brenner Bakery #184,5912,pharmacy,DE,2025-03-18 19:48:31
m_0185,MegaCard Shop #185,5311,retail,AT,2025-02-27 20:40:54
m_0186,Innstadt Elektronik #186,5912,pharmacy,AT,2025-03-06 10:30:44
m_0187,Salzkammergut Store #187,5541,fuel,DE,2025-04-23 02:02:44
m_0188,Karwendel Kiosk #188,5311,retail,DE,2025-06-06 07:39:04
m_0189,Voucher World #189,6540,giftcard,DE,2025-06-20 00:12:30
m_0190,Nordstern Retail #190,5411,grocery,CH,2025-05-06 04:15:17
m_0191,Alpina Market #191,5812,restaurant,AT,2025-01-09 01:21:41
m_0192,Kaiser Supermarkt #192,6540,giftcard,DE,2025-03-10 00:53:45
m_0193,Karwendel Kiosk #193,5311,retail,CH,2025-03-12 11:36:05
m_0194,Rheintal Fuel #194,6540,giftcard,DE,2025-07-10 23:12:59
m_0195,Etsch Electronics #195,6540,giftcard,AT,2025-05-10 10:39:33
m_0196,Tirol Tankstelle #196,5311,retail,IT,2025-05-09 01:59:34
m_0197,Etsch Electronics #197,5311,retail,AT,2025-06-05 12:29:07
m_0198,MegaCard Shop #198,5732,electronics,AT,2025-02-04 04:46:36
m_0199,PixelTech #199,5311,retail,AT,2025-06-06 23:11:04
m_0200,Alpina Market #200,5732,electronics,DE,2025-06-29 09:55:53
m_0201,Sonnhof Apotheke #201,5311,retail,DE,2025-07-13 14:17:32
m_0202,Nordstern Retail #202,5812,restaurant,AT,2025-02-20 21:07:54
m_0203,Karwendel Kiosk #203,5912,pharmacy,CH,2025-07-08 05:50:29
m_0204,Salzkammergut Store #204,5411,grocery,IT,2025-03-03 12:11:29
m_0205,Alpina Market #205,5311,retail,DE,2025-02-06 04:46:21
m_0206,Tirol Tankstelle #206,5411,grocery,DE,2025-02-15 14:51:49
m_0207,Innstadt Elektronik #207,5812,restaurant,DE,2025-04-24 08:20:48
m_0208,Kaiser Supermarkt #208,5311,retail,DE,2025-07-07 09:13:19
m_0209,GiftBox Express #209,6540,giftcard,DE,2025-02-26 04:09:39
m_0210,Salzkammergut Store #210,5311,retail,DE,2025-02-23 00:20:59
m_0211,Kaiser Supermarkt #211,5732,electronics,DE,2025-06-11 03:32:37
m_0212,Voucher World #212,5311,retail,AT,2025-01-01 23:54:35
m_0213,Dolomiti Foods #213,5411,grocery,IT,2025-07-10 03:46:43
m_0214,Karwendel Kiosk #214,5732,electronics,DE,2025-05-15 00:47:17
m_0215,MegaCard Shop #215,5311,retail,AT,2025-05-05 23:10:56
m_0216,GiftBox Express #216,5732,electronics,DE,2025-04-01 16:57:35
m_0217,Rheintal Fuel #217,5732,electronics,AT,2025-07-03 16:27:29
m_0218,Almhuette Bistro #218,5541,fuel,AT,2025-03-01 01:43:27
m_0219,Nordstern Retail #219,5311,retail,AT,2025-05-09 22:24:53
m_0220,Karwendel Kiosk #220,5732,electronics,AT,2025-06-27 10:52:42
m_0221,Innstadt Elektronik #221,5411,grocery,DE,2025-03-01 22:45:03
m_0222,Kaiser Supermarkt #222,5411,grocery,AT,2025-06-04 08:48:47
m_0223,PixelTech #223,5812,restaurant,IT,2025-05-28 13:56:39
m_0224,Etsch Electronics #224,6540,giftcard,IT,2025-01-14 22:36:13
m_0225,GiftBox Express #225,5812,restaurant,DE,2025-04-22 14:33:59
m_0226,Bergblick Groceries #226,6540,giftcard,DE,2025-02-08 05:33:23
m_0227,Tirol Tankstelle #227,5541,fuel,DE,2025-04-27 07:13:34
m_0228,Nordstern Retail #228,5912,pharmacy,AT,2025-01-22 19:04:08
m_0229,Speck & Co #229,5411,grocery,DE,2025-04-05 20:05:06
m_0230,Brenner Bakery #230,5812,restaurant,DE,2025-03-11 22:15:06
m_0231,Bergblick Groceries #231,5411,grocery,DE,2025-05-29 13:34:16
m_0232,GiftBox Express #232,5812,restaurant,DE,2025-02-25 13:57:13
m_0233,Kaiser Supermarkt #233,5411,grocery,DE,2025-01-04 15:35:25
m_0234,Karwendel Kiosk #234,5912,pharmacy,CH,2025-03-03 08:26:22
m_0235,Speck & Co #235,5411,grocery,SI,2025-04-27 04:19:10
m_0236,Rheintal Fuel #236,5812,restaurant,DE,2025-06-27 10:01:06
m_0237,Sonnhof Apotheke #237,5732,electronics,SI,2025-07-07 15:49:32
m_0238,Almhuette Bistro #238,5411,grocery,DE,2025-04-25 21:43:49
m_0239,Dolomiti Foods #239,6540,giftcard,AT,2025-06-03 17:10:36
m_0240,Brenner Bakery #240,5411,grocery,IT,2025-01-20 01:07:31
m_0241,Etsch Electronics #241,5912,pharmacy,IT,2025-04-22 03:31:22
m_0242,GiftBox Express #242,5541,fuel,DE,2025-05-17 19:52:09
m_0243,Sonnhof Apotheke #243,5411,grocery,DE,2025-02-23 02:52:29
m_0244,Nordstern Retail #244,5812,restaurant,AT,2025-06-21 04:46:11
m_0245,Speck & Co #245,5411,grocery,DE,2025-02-05 00:06:14
m_0246,PixelTech #246,5912,pharmacy,DE,2025-03-10 05:05:02
m_0247,MegaCard Shop #247,5411,grocery,IT,2025-05-23 02:02:21
m_0248,Kaiser Supermarkt #248,5812,restaurant,IT,2025-04-10 19:08:05
m_0249,Etsch Electronics #249,5912,pharmacy,SI,2025-04-25 14:55:03
m_0250,PixelTech #250,5541,fuel,IT,2025-07-01 21:09:53
m_0251,Innstadt Elektronik #251,6540,giftcard,DE,2025-03-29 14:52:52
m_0252,Almhuette Bistro #252,5732,electronics,SI,2025-05-23 01:16:14
m_0253,Almhuette Bistro #253,5411,grocery,AT,2025-02-17 23:55:49
m_0254,Kaiser Supermarkt #254,5311,retail,DE,2025-05-25 06:23:07
m_0255,GiftBox Express #255,5411,grocery,DE,2025-05-08 09:14:24
m_0256,GiftBox Express #256,5912,pharmacy,DE,2025-06-30 07:17:13
m_0257,Dolomiti Foods #257,5912,pharmacy,DE,2025-02-15 07:29:54
m_0258,Nordstern Retail #258,5411,grocery,AT,2025-07-11 07:35:39
m_0259,GiftBox Express #259,5411,grocery,CH,2025-02-22 16:28:50
m_0260,Speck & Co #260,5311,retail,DE,2025-06-12 18:32:40
m_0261,Innstadt Elektronik #261,5812,restaurant,CH,2025-02-08 10:56:54
m_0262,Salzkammergut Store #262,5732,electronics,DE,2025-04-19 15:22:01
m_0263,Speck & Co #263,5411,grocery,AT,2025-06-22 16:51:56
m_0264,Speck & Co #264,6540,giftcard,AT,2025-05-23 15:48:35
m_0265,Speck & Co #265,5812,restaurant,AT,2025-04-18 03:24:05
m_0266,Tirol Tankstelle #266,5411,grocery,CH,2025-06-26 14:16:23
m_0267,Sonnhof Apotheke #267,5411,grocery,DE,2025-01-09 07:03:57
m_0268,PixelTech #268,5411,grocery,AT,2025-02-18 21:41:44
m_0269,Sonnhof Apotheke #269,5541,fuel,AT,2025-03-22 10:50:47
m_0270,GiftBox Express #270,5812,restaurant,AT,2025-02-27 07:18:16
m_0271,Salzkammergut Store #271,5541,fuel,AT,2025-02-26 04:35:22
m_0272,MegaCard Shop #272,6540,giftcard,AT,2025-03-09 18:25:51
m_0273,Alpina Market #273,5411,grocery,AT,2025-05-20 03:03:36
m_0274,GiftBox Express #274,5541,fuel,DE,2025-01-07 03:05:25
m_0275,Nordstern Retail #275,5411,grocery,AT,2025-06-13 11:38:12
m_0276,Bergblick Groceries #276,5812,restaurant,DE,2025-05-21 14:26:52
m_0277,Tirol Tankstelle #277,5311,retail,DE,2025-03-28 00:59:36
m_0278,Nordstern Retail #278,6540,giftcard,DE,2025-04-28 03:23:54
m_0279,Alpina Market #279,5311,retail,AT,2025-07-06 00:26:05
m_0280,Rheintal Fuel #280,5732,electronics,DE,2025-07-10 09:38:12
m_0281,Karwendel Kiosk #281,5541,fuel,AT,2025-02-01 09:01:18
m_0282,Innstadt Elektronik #282,5311,retail,AT,2025-04-17 19:20:05
m_0283,Brenner Bakery #283,5812,restaurant,DE,2025-05-07 06:56:52
m_0284,Salzkammergut Store #284,5311,retail,DE,2025-06-26 04:56:03
m_0285,Rheintal Fuel #285,5311,retail,AT,2025-02-14 10:24:59
m_0286,MegaCard Shop #286,5732,electronics,DE,2025-03-25 12:09:36
m_0287,GiftBox Express #287,5311,retail,DE,2025-06-26 02:54:58
m_0288,Tirol Tankstelle #288,5311,retail,AT,2025-05-02 08:55:50
m_0289,Speck & Co #289,5812,restaurant,SI,2025-07-04 04:29:49
m_0290,Bergblick Groceries #290,5411,grocery,AT,2025-02-07 12:02:44
m_0291,Speck & Co #291,5541,fuel,IT,2025-01-24 07:03:47
m_0292,MegaCard Shop #292,5812,restaurant,DE,2025-02-17 11:16:41
m_0293,Rheintal Fuel #293,5311,retail,IT,2025-01-20 23:30:43
m_0294,Salzkammergut Store #294,6540,giftcard,AT,2025-02-10 05:37:38
m_0295,Sonnhof Apotheke #295,5812,restaurant,AT,2025-07-07 06:19:51
m_0296,Tirol Tankstelle #296,5411,grocery,AT,2025-05-23 17:55:02
m_0297,Kaiser Supermarkt #297,5411,grocery,DE,2025-06-16 15:37:03
m_0298,Salzkammergut Store #298,5732,electronics,DE,2025-01-11 04:42:12
m_0299,Kaiser Supermarkt #299,5812,restaurant,AT,2025-04-17 03:03:52
m_0300,Dolomiti Foods #300,5541,fuel,CH,2025-05-17 07:46:31
m_0301,Innstadt Elektronik #301,5411,grocery,DE,2025-06-05 15:34:51
m_0302,Alpina Market #302,5411,grocery,AT,2025-03-25 13:11:01
m_0303,Karwendel Kiosk #303,5311,retail,AT,2025-05-24 17:08:41
m_0304,PixelTech #304,5311,retail,DE,2025-02-02 23:51:25
m_0305,Innstadt Elektronik #305,5912,pharmacy,AT,2025-01-20 07:49:12
m_0306,Kaiser Supermarkt #306,5812,restaurant,DE,2025-06-14 16:06:14
m_0307,Karwendel Kiosk #307,5311,retail,DE,2025-03-25 17:14:54
m_0308,Tirol Tankstelle #308,5541,fuel,AT,2025-02-13 01:34:03
m_0309,Brenner Bakery #309,5411,grocery,DE,2025-04-30 18:40:37
m_0310,Almhuette Bistro #310,5411,grocery,SI,2025-01-22 06:36:17
m_0311,Dolomiti Foods #311,5411,grocery,CH,2025-02-23 07:07:15
m_0312,Dolomiti Foods #312,5541,fuel,AT,2025-01-04 00:02:52
m_0313,Rheintal Fuel #313,5311,retail,AT,2025-05-28 15:47:24
m_0314,GiftBox Express #314,5812,restaurant,DE,2025-05-18 13:04:38
m_0315,Nordstern Retail #315,5411,grocery,DE,2025-06-28 13:13:12
m_0316,PixelTech #316,5912,pharmacy,DE,2025-06-07 01:29:40
m_0317,Rheintal Fuel #317,5541,fuel,AT,2025-06-07 07:10:29
m_0318,PixelTech #318,5411,grocery,AT,2025-06-28 16:24:50
m_0319,Speck & Co #319,5732,electronics,AT,2025-02-11 02:42:57
m_0320,Brenner Bakery #320,5411,grocery,DE,2025-01-31 13:02:38
