wallet_id,member_id,country,onboarding_method,marketing_channel,status,created_at
w_000175,mem_000175,DE,sdd,search,active,2025-12-26 11:04:32
w_000176,mem_000176,DE,card,paid_social,active,2025-01-07 01:56:38
w_000177,mem_000177,DE,card,referral,active,2025-01-30 21:06:33
w_000178,mem_000178,AT,card,search,active,2025-07-29 22:24:25
w_000179,mem_000179,AT,sdd,organic,active,2025-07-14 11:43:39
w_000180,mem_000180,AT,card,organic,churned,2025-08-24 00:34:53
w_000181,mem_000181,AT,card,paid_social,active,2025-04-17 03:35:33
w_000182,mem_000182,AT,card,search,active,2025-03-14 03:12:07
w_000183,,AT,card,organic,active,2025-10-04 22:39:11
w_000184,mem_000184,AT,sdd,paid_social,active,2025-06-01 07:32:24
w_000185,mem_000185,DE,card,paid_social,active,2025-04-15 18:24:19
w_000186,,AT,card,organic,active,2025-02-10 02:45:35
w_000187,,DE,card,paid_social,active,2025-05-30 14:40:39
w_000188,mem_000188,AT,sdd,organic,active,2025-04-05 06:31:27
w_000189,mem_000189,AT,sdd,search,active,2025-07-11 12:14:53
w_000190,mem_000190,DE,card,organic,active,2025-05-21 05:55:41
w_000191,mem_000191,AT,card,paid_social,active,2025-02-11 13:03:17
w_000192,mem_000192,IT,card,,active,2025-12-01 20:16:14
w_000193,mem_000193,DE,sdd,organic,active,2025-02-22 20:46:19
w_000194,mem_000194,DE,sdd,paid_social,active,2025-06-04 15:51:42
w_000195,mem_000195,IT,sdd,partner,active,2025-04-05 03:33:29
w_000196,mem_000196,DE,card,partner,active,2025-03-19 14:16:17
w_000197,mem_000197,IT,card,organic,active,2025-06-29 06:37:51
w_000198,mem_000198,DE,card,organic,active,2025-11-26 05:57:22
w_000199,mem_000199,AT,sdd,referral,active,2025-09-13 19:11:01
w_000200,mem_000200,CH,card,paid_social,active,2025-08-15 02:54:27
w_000201,mem_000201,IT,card,partner,active,2025-11-04 02:03:11
w_000202,mem_000202,AT,card,organic,active,2025-02-12 11:23:48
w_000203,mem_000203,DE,card,paid_social,active,2025-09-08 12:07:35
w_000204,mem_000204,DE,card,referral,active,2025-01-05 02:18:44
w_000205,mem_000205,DE,card,paid_social,active,2025-03-27 20:09:54
w_000206,mem_000206,AT,card,organic,active,2025-05-14 23:19:44
w_000207,mem_000207,AT,sdd,organic,active,2025-11-19 20:26:34
w_000208,mem_000208,DE,sdd,organic,active,2025-07-07 13:11:47
w_000209,mem_000209,IT,card,referral,active,2025-01-18 08:28:34
w_000210,mem_000210,DE,card,organic,active,2025-03-05 19:53:28
w_000211,mem_000211,DE,sdd,referral,active,2025-06-15 14:03:02
w_000212,mem_000212,CH,sdd,paid_social,active,2025-06-17 19:47:06
w_000213,mem_000213,DE,card,organic,active,2025-01-02 17:28:38
w_000214,mem_000214,AT,sdd,organic,active,2025-02-09 12:23:52
w_000215,mem_000215,DE,card,referral,active,2025-09-18 11:23:25
w_000216,mem_000216,DE,sdd,referral,active,2025-08-16 23:16:49
w_000217,mem_000217,AT,sdd,organic,active,2025-11-07 22:15:27
w_000218,mem_000218,AT,sdd,referral,active,2025-04-29 14:20:52
w_000219,mem_000219,DE,card,referral,active,2025-08-12 05:34:50
w_000220,mem_000220,AT,sdd,paid_social,active,2025-03-09 06:39:55
w_000221,mem_000221,DE,sdd,paid_social,churned,2025-01-21 19:41:35
w_000222,mem_000222,DE,sdd,search,active,2025-08-07 02:19:27
w_000223,mem_000223,IT,sdd,organic,active,2025-07-09 19:00:34
w_000224,mem_000224,DE,card,search,active,2025-03-29 07:41:33
w_000225,mem_000225,AT,sdd,,active,2025-08-02 11:49:09
w_000226,mem_000226,DE,sdd,,active,2025-07-30 12:12:37
w_000227,mem_000227,AT,card,organic,active,2025-02-09 18:35:25
w_000228,mem_000228,DE,card,search,active,2025-04-13 01:36:55
w_000229,mem_000229,DE,card,referral,active,2025-04-03 00:29:50
w_000230,mem_000230,AT,sdd,organic,active,2025-06-16 06:48:22
w_000231,mem_000231,AT,card,organic,active,2025-05-17 05:50:14
w_000232,mem_000232,SI,card,organic,active,2025-08-11 10:16:57
w_000233,mem_000233,SI,card,organic,churned,2025-10-19 07:23:02
w_000234,mem_000234,AT,sdd,search,active,2025-12-03 08:26:22
w_000235,mem_000235,AT,sdd,paid_social,active,2025-06-02 12:14:10
w_000236,mem_000236,DE,card,referral,active,2025-09-04 01:50:19
w_000237,mem_000237,AT,sdd,search,churned,2025-12-07 17:11:25
w_000238,mem_000238,DE,card,search,churned,2025-10-12 13:28:58
w_000239,mem_000239,DE,sdd,organic,active,2025-11-06 00:15:20
w_000240,mem_000240,AT,card,search,active,2025-11-18 16:43:19
w_000241,mem_000241,AT,card,paid_social,active,2025-12-14 06:07:31
w_000242,mem_000242,DE,card,paid_social,active,2025-02-18 05:58:27
w_000243,mem_000243,AT,card,search,blocked,2025-09-25 10:08:29
w_000244,mem_000244,AT,card,organic,active,2025-02-06 05:59:30
w_000245,mem_000245,DE,sdd,organic,active,2025-06-03 22:10:16
w_000246,,AT,sdd,referral,active,2025-02-06 23:10:34
w_000247,,AT,card,referral,active,2025-01-04 14:33:38
w_000248,,DE,sdd,organic,active,2025-07-05 12:29:20
w_000249,mem_000249,IT,card,referral,active,2025-12-09 03:24:45
w_000250,mem_000250,AT,card,paid_social,active,2025-09-20 23:22:30
w_000251,mem_000251,CH,card,paid_social,active,2025-10-08 13:33:16
w_000252,mem_000252,DE,card,paid_social,active,2025-03-26 08:52:01
w_000253,mem_000253,AT,sdd,paid_social,active,2025-06-16 18:11:35
w_000254,mem_000254,CH,sdd,search,active,2025-08-22 00:28:43
w_000255,mem_000255,DE,card,organic,active,2025-12-07 03:18:03
w_000256,mem_000256,AT,sdd,organic,active,2025-01-22 04:37:16
w_000257,mem_000257,SI,card,partner,active,2025-09-05 19:21:30
w_000258,mem_000258,DE,sdd,organic,active,2025-02-21 06:10:10
w_000259,mem_000259,AT,sdd,organic,active,2025-07-02 22:10:28
w_000260,mem_000260,AT,sdd,referral,churned,2025-01-16 11:12:47
w_000261,mem_000261,AT,sdd,referral,active,2025-10-25 21:59:00
w_000262,mem_000262,CH,card,organic,active,2025-04-18 18:11:12
w_000263,mem_000263,IT,card,organic,active,2025-05-07 21:32:00
w_000264,mem_000264,AT,sdd,partner,churned,2025-09-29 08:07:52
w_000265,mem_000265,AT,card,search,active,2025-02-15 01:04:23
w_000266,,AT,sdd,paid_social,active,2025-02-16 09:17:22
w_000267,mem_000267,AT,sdd,search,active,2025-07-20 20:51:58
w_000268,mem_000268,CH,sdd,paid_social,active,2025-04-15 09:03:59
w_000269,,DE,sdd,paid_social,active,2025-07-23 10:40:30
w_000270,,AT,sdd,search,active,2025-05-20 20:35:52
w_000271,mem_000271,AT,sdd,organic,active,2025-12-14 07:11:08
w_000272,,AT,card,organic,active,2025-12-02 03:04:35
w_000273,,DE,card,organic,active,2025-11-30 00:20:28
w_000274,mem_000274,AT,sdd,paid_social,active,2025-04-07 09:58:50
w_000275,mem_000275,AT,sdd,organic,active,2025-07-14 23:21:38
w_000276,,AT,card,organic,active,2025-06-05 16:53:25
w_000277,mem_000277,AT,card,search,active,2025-08-03 19:11:07
w_000278,mem_000278,DE,card,organic,active,2025-04-05 05:02:48
w_000279,mem_000279,AT,card,organic,active,2025-12-16 16:44:23
w_000280,mem_000280,IT,card,organic,active,2025-07-30 07:34:01
w_000281,mem_000281,AT,sdd,,active,2025-09-13 06:30:57
w_000282,mem_000282,SI,card,organic,active,2025-06-13 00:58:02
w_000283,mem_000283,DE,card,paid_social,active,2025-12-24 18:53:59
w_000284,mem_000284,AT,card,organic,active,2025-10-18 10:55:39
w_000285,,AT,sdd,search,active,2025-08-09 12:28:22
w_000286,mem_000286,DE,sdd,organic,active,2025-12-26 15:20:11
w_000287,mem_000287,DE,sdd,organic,active,2025-01-30 00:08:14
w_000288,mem_000288,DE,card,organic,active,2025-06-24 14:15:56
w_000289,mem_000289,AT,card,organic,active,2025-04-30 17:38:10
w_000290,mem_000290,IT,sdd,organic,active,2025-10-01 16:19:29
w_000291,mem_000291,AT,sdd,search,active,2025-04-07 09:34:00
w_000292,,DE,card,organic,active,2025-03-09 12:33:53
w_000293,mem_000293,AT,sdd,search,active,2025-06-29 10:33:18
w_000294,mem_000294,AT,card,referral,active,2025-03-28 07:52:32
w_000295,mem_000295,AT,card,organic,churned,2025-08-15 03:39:04
w_000296,mem_000296,CH,card,organic,active,2025-09-08 21:02:03
w_000297,mem_000297,CH,sdd,search,active,2025-01-17 13:57:30
w_000298,,AT,sdd,organic,active,2025-07-12 16:13:59
w_000299,mem_000299,DE,card,referral,active,2025-04-19 16:26:00
w_000300,mem_000300,AT,sdd,organic,active,2025-07-13 18:00:24
w_000301,mem_000301,AT,card,paid_social,active,2025-03-19 11:04:53
w_000302,mem_000302,AT,sdd,paid_social,active,2025-01-08 14:01:57
w_000303,mem_000303,AT,sdd,referral,active,2025-12-21 10:45:58
w_000304,mem_000304,AT,card,paid_social,active,2025-01-12 09:07:40
w_000305,mem_000305,AT,sdd,organic,active,2025-10-25 19:29:13
w_000306,mem_000306,AT,card,organic,churned,2025-07-27 06:20:50
w_000307,mem_000307,CH,card,organic,active,2025-11-25 17:59:57
w_000308,mem_000308,DE,card,organic,active,2025-04-02 20:48:58
w_000309,mem_000309,AT,card,search,active,2025-09-30 01:41:59
w_000310,mem_000310,AT,sdd,organic,active,2025-11-11 17:29:10
w_000311,mem_000311,DE,sdd,referral,active,2025-04-01 08:12:24
w_000312,mem_000312,CH,card,organic,active,2025-11-10 04:36:57
w_000313,mem_000313,AT,sdd,paid_social,active,2025-01-09 12:14:34
w_000314,mem_000314,CH,sdd,organic,active,2025-05-22 17:01:11
w_000315,mem_000315,DE,sdd,referral,churned,2025-04-28 04:39:18
w_000316,mem_000316,SI,card,partner,active,2025-07-09 05:01:59
w_000317,mem_000317,IT,sdd,search,active,2025-11-02 15:17:42
w_000318,mem_000318,CH,card,paid_social,active,2025-04-25 09:05:59
w_000319,mem_000319,DE,card,,active,2025-10-27 08:39:35
w_000320,mem_000320,DE,sdd,organic,active,2025-03-27 18:53:34
w_000321,mem_000321,CH,sdd,referral,active,2025-05-15 16:30:16
w_000322,mem_000322,AT,sdd,referral,active,2025-09-06 04:52:07
w_000323,mem_000323,AT,sdd,search,active,2025-05-17 02:43:16
w_000324,mem_000324,AT,sdd,organic,active,2025-03-06 14:23:11
w_000325,mem_000325,DE,sdd,paid_social,active,2025-07-06 05:09:49
w_000326,mem_000326,AT,card,organic,active,2025-11-07 09:01:59
w_000327,mem_000327,AT,card,,active,2025-03-08 01:29:43
w_000328,mem_000328,DE,sdd,partner,active,2025-05-12 05:55:39
w_000329,mem_000329,AT,sdd,,active,2025-03-06 01:53:07
w_000330,mem_000330,DE,sdd,organic,active,2025-06-08 22:45:53
w_000331,mem_000331,DE,sdd,organic,active,2025-04-03 06:06:37
w_000332,mem_000332,DE,card,organic,active,2025-01-02 11:33:49
w_000333,mem_000333,SI,sdd,organic,active,2025-01-10 23:52:26
w_000334,mem_000334,DE,sdd,paid_social,active,2025-11-01 19:34:47
w_000335,mem_000335,AT,sdd,paid_social,active,2025-03-13 19:13:04
w_000336,mem_000336,AT,card,referral,active,2025-04-13 07:04:24
w_000337,mem_000337,DE,card,organic,active,2025-02-03 06:51:00
w_000338,mem_000338,DE,sdd,search,active,2025-01-24 16:24:34
w_000339,mem_000339,AT,sdd,search,active,2025-07-04 09:41:02
w_000340,mem_000340,IT,card,referral,churned,2025-01-14 11:41:34
w_000341,mem_000341,CH,sdd,organic,active,2025-02-16 17:06:29
w_000342,mem_000342,SI,sdd,,active,2025-03-16 20:20:14
w_000343,mem_000343,AT,card,search,active,2025-09-01 14:10:19
w_000344,mem_000344,AT,sdd,paid_social,active,2025-02-03 19:09:16
w_000345,,DE,card,organic,active,2025-12-06 05:17:44
w_000346,mem_000346,DE,card,partner,active,2025-02-28 02:46:03
w_000347,mem_000347,IT,card,search,active,2025-08-07 12:35:33
w_000348,mem_000348,DE,sdd,organic,active,2025-04-13 13:55:54
w_000349,mem_000349,DE,sdd,search,active,2025-02-25 20:48:14
w_000350,mem_000350,CH,card,organic,active,2025-09-26 04:03:16
w_000351,mem_000351,IT,card,referral,active,2025-11-14 10:35:20
w_000352,mem_000352,DE,card,organic,active,2025-12-04 10:44:06
w_000353,mem_000353,AT,sdd,search,active,2025-10-11 00:54:10
w_000354,mem_000354,AT,sdd,search,active,2025-10-15 18:06:21
w_000355,mem_000355,AT,card,search,active,2025-01-26 11:35:40
w_000356,mem_000356,AT,sdd,organic,blocked,2025-01-12 05:48:59
w_000357,mem_000357,AT,card,paid_social,active,2025-01-20 15:14:47
w_000358,mem_000358,AT,sdd,paid_social,active,2025-09-04 18:26:55
w_000359,mem_000359,AT,card,organic,active,2025-12-05 01:28:07
w_000360,mem_000360,AT,sdd,paid_social,active,2025-11-19 16:16:17
w_000361,mem_000361,DE,sdd,paid_social,active,2025-03-25 05:35:38
w_000362,mem_000362,DE,sdd,organic,churned,2025-01-08 18:54:05
w_000363,mem_000363,AT,card,organic,active,2025-03-09 06:20:49
w_000364,mem_000364,AT,sdd,organic,active,2025-10-03 11:47:26
w_000365,mem_000365,DE,card,organic,active,2025-07-01 05:56:26
w_000366,mem_000366,DE,card,organic,active,2025-09-15 05:36:00
w_000367,mem_000367,SI,card,search,active,2025-09-23 19:11:34
w_000368,mem_000368,DE,sdd,paid_social,churned,2025-04-12 10:03:56
w_000369,mem_000369,IT,card,referral,active,2025-04-04 07:46:39
w_000370,mem_000370,DE,sdd,partner,active,2025-09-22 09:06:12
w_000371,mem_000371,DE,card,organic,active,2025-06-07 03:08:06
w_000372,mem_000372,DE,sdd,partner,active,2025-10-10 03:56:08
w_000373,mem_000373,IT,card,organic,active,2025-05-20 05:26:07
w_000374,mem_000374,DE,card,partner,active,2025-02-07 21:43:35
w_000375,mem_000375,AT,sdd,search,active,2025-09-21 23:22:42
w_000376,mem_000376,AT,sdd,search,active,2025-06-13 07:05:18
w_000377,,DE,card,paid_social,active,2025-07-02 17:43:07
w_000378,mem_000378,AT,sdd,organic,blocked,2025-03-17 13:16:46
w_000379,mem_000379,AT,card,partner,churned,2025-11-28 18:05:30
w_000380,mem_000380,AT,sdd,organic,blocked,2025-06-27 16:52:29
w_000381,mem_000381,DE,sdd,search,active,2025-03-10 16:07:17
w_000382,mem_000382,DE,sdd,referral,active,2025-08-12 19:18:31
w_000383,mem_000383,DE,sdd,paid_social,active,2025-09-04 00:31:54
w_000384,mem_000384,AT,card,organic,active,2025-10-11 18:14:10
w_000385,,AT,card,organic,active,2025-09-20 19:44:59
w_000386,mem_000386,AT,card,organic,active,2025-02-09 21:18:36
w_000387,mem_000387,DE,sdd,referral,active,2025-04-23 22:42:41
w_000388,mem_000388,AT,sdd,partner,churned,2025-02-21 23:00:28
w_000389,mem_000389,AT,card,organic,active,2025-12-23 14:17:40
w_000390,mem_000390,AT,card,organic,active,2025-01-09 12:14:47
w_000391,mem_000391,DE,card,organic,active,2025-12-07 09:59:00
w_000392,mem_000392,DE,sdd,paid_social,active,2025-02-11 23:41:25
w_000393,mem_000393,AT,card,organic,active,2025-08-01 13:02:29
w_000394,mem_000394,AT,card,organic,active,2025-06-13 10:48:22
w_000395,mem_000395,DE,sdd,search,active,2025-11-19 14:14:40
w_000396,mem_000396,AT,sdd,organic,active,2025-07-13 07:15:51
w_000397,mem_000397,DE,card,referral,active,2025-10-01 04:30:20
w_000398,mem_000398,DE,card,search,active,2025-07-06 16:06:45
